,pasta,quantidade_csv
0,principe_da_beira,3
1,foz_do_rio_claro,3
2,pedra_do_cavalo,3
3,serra_da_mesa,2
4,foz_do_areia,2
5,itiquira,1
6,castro_alves,3
7,maua,2
8,boa_sorte,5
9,ita,3
10,boa_esperanca,6
11,porto_real,2
12,jurumirim,2
13,salto_caxias,3
14,boqueirao,4
15,ivinhema,12
16,lajeado,11
17,retiro_baixo,2
18,passo_real,2
19,barra_bonita,4
20,emborcacao,2
21,sao_manoel,3
22,sobragi,1
23,uhe_samuel,1
24,nova_ponte,2
25,monjolinho,2
26,funil,2
27,curua_una,1
28,edgard_de_souza,3
29,sao_francisco,2
30,posto_fazenda_buriti,2
31,itapebi,5
32,ibitinga,4
33,porto_taquara,3
34,balsa_santa_maria,2
35,abaixo_do_rio_verde,3
36,salto_pilao,2
37,furnas,3
38,ilha_dos_pombos,6
39,porto_primavera,9
40,machadinho,1
41,barra_grande,1
42,canoas_i,2
43,santa_cecilia,1
44,porto_dos_buenos,2
45,tocos_lajes,1
46,tres_marias,4
47,pimental,2
48,mascarenhas,7
49,barra_do_brauna,1
50,corumba_iv,1
51,bandeirantes,6
52,sao_romao,10
53,estreito_toc,5
54,sao_simao,3
55,paragucu,2
56,incremental_itaipu,4
57,campos_novos,3
58,itumbiara,3
59,santa_clara,1
60,jupia,1
61,capivara,4
62,florida_estrada,6
63,santa_branca,1
64,serra_do_facao,2
65,colider,3
66,nova_avanhandava,2
67,passo_sao_joao,1
68,candonga,1
69,baixo_iguacu,3
70,agua_vermelha,3
71,capao_escuro,2
72,corumba_i,6
73,foz_do_chapeco,2
74,euclides_da_cunha,1
75,rosana,2
76,tucurui,9
77,uniao_da_vitoria,5
78,uhe_rondon_ii,1
79,funil_incremental,3
80,porto_colombia,5
81,irape,1
82,conceicao_do_araguaia,14
83,passagem,2
84,marimbondo,4
85,ilha_solteira_+_tres_irmaos,5
